"","Breeding.Biome","year","med","lci","uci"
"159","Coasts",1972,22919.874228932,-5618215.49599774,6250393.77795402
"157","Coasts",1973,-56673.6244070008,-5560620.10871164,6036345.18420355
"149","Coasts",1974,-55139.6206814498,-5563885.27683172,6155928.70154361
"147","Coasts",1975,42750.0613504648,-5347705.83529262,6067143.86790748
"154","Coasts",1976,242475.970281325,-5311996.17665189,6233547.36823478
"161","Coasts",1977,369838.714968272,-5193565.29863117,6477107.69344228
"172","Coasts",1978,587206.711649612,-4970003.26162417,6785478.41259071
"170","Coasts",1979,799749.788636111,-4967370.08456743,7017036.48743542
"181","Coasts",1980,952724.061275326,-4805968.37649299,7346723.09556376
"165","Coasts",1981,1248454.26712642,-4788604.5927971,7839503.60049378
"176","Coasts",1982,1448996.32684485,-4834729.20274343,8250875.36512062
"187","Coasts",1983,1653178.84546358,-5071839.16014355,9035644.35994564
"190","Coasts",1984,1891983.26052079,-5417501.92984311,9797011.26520534
"150","Coasts",1985,1978133.25721485,-6161692.01122387,10601185.2579862
"145","Coasts",1986,1807911.8999007,-6988211.01847885,11139343.2846827
"151","Coasts",1987,1423416.18929395,-7759276.11243432,11633312.8282805
"162","Coasts",1988,893590.994175665,-8667834.00987971,12148230.3405165
"173","Coasts",1989,327991.364075735,-9658851.8612355,11734188.0206552
"171","Coasts",1990,-227307.766930033,-10369283.0603291,11949638.4576127
"169","Coasts",1991,-805780.863177821,-11200616.1699111,11497298.2798703
"166","Coasts",1992,-1448051.59873354,-11885889.9207081,11145988.6013858
"177","Coasts",1993,-1993686.04059706,-12497107.9734229,11166557.2689622
"184","Coasts",1994,-2625243.52381236,-13033698.829056,9764780.10287258
"191","Coasts",1995,-3294944.08606912,-14144823.6968042,9321639.99122627
"160","Coasts",1996,-3988459.42357293,-14730181.0490582,8684768.75562766
"158","Coasts",1997,-4512119.81568736,-16981761.2054785,7808863.6598647
"156","Coasts",1998,-5170070.00364208,-17925555.0570128,7050705.55249795
"163","Coasts",1999,-5617359.22020356,-18651854.983063,6416021.79609036
"174","Coasts",2000,-6029389.73415015,-17088197.4442978,6212824.69370254
"185","Coasts",2001,-6506078.63256992,-17605015.5715071,5444126.2756873
"183","Coasts",2002,-6757316.28822114,-18049535.5676198,5001382.83389057
"167","Coasts",2003,-6758049.28733851,-17865988.9990664,5225866.92697414
"178","Coasts",2004,-7112177.09649879,-18116797.0366683,4956173.71594175
"189","Coasts",2005,-7140685.00519925,-18276465.4588258,4653576.5745565
"188","Coasts",2006,-7464274.83204852,-18887810.7589003,4119354.07417128
"148","Coasts",2007,-7558951.77610022,-19066582.0392922,4056027.45498207
"155","Coasts",2008,-7598500.26667853,-19135938.4355638,3954438.00175015
"153","Coasts",2009,-7674978.23056471,-19269742.1535658,3922473.17764428
"164","Coasts",2010,-7490032.26378659,-19130439.749341,4239660.88289389
"175","Coasts",2011,-7484701.93921879,-19286441.9027128,4374570.82366254
"182","Coasts",2012,-7018810.03496257,-18689303.5648452,5355435.59571052
"180","Coasts",2013,-6729358.17327211,-18690390.4119626,5465724.02338702
"168","Coasts",2014,-6643366.15791408,-18922847.8731533,6514975.68916705
"179","Coasts",2015,-6324441.71910651,-18680185.8469965,7088052.76787112
"186","Coasts",2016,-6052814.85274542,-18258272.890153,8096013.1784041
"192","Coasts",2017,-5822262.35465688,-18248305.463691,8673449.5027947
"205","Eastern Forest",1970,0,0,0
"216","Eastern Forest",1971,-6737415.36168563,-18407953.6375423,5165877.88222136
"227","Eastern Forest",1972,-13812073.5042775,-25481162.4361789,-2163610.28508295
"234","Eastern Forest",1973,-21120777.2626249,-32445729.2407917,-9726178.20681705
"194","Eastern Forest",1974,-29591439.918149,-41119487.9662708,-17959286.2046229
"193","Eastern Forest",1975,-39749991.7384294,-51665380.1869093,-27992121.7869033
"195","Eastern Forest",1976,-50354353.5665016,-62563526.5894573,-38120193.160713
"202","Eastern Forest",1977,-60538450.8589375,-72977760.4722806,-48154622.8372752
"213","Eastern Forest",1978,-70266145.468438,-83125578.036455,-57821431.7831663
"211","Eastern Forest",1979,-79303597.7265185,-92466008.8113037,-66329679.2142312
"222","Eastern Forest",1980,-87272919.6816616,-100360242.811718,-74089654.6360538
"206","Eastern Forest",1981,-94462570.9086791,-107815448.997023,-81249718.1874749
"217","Eastern Forest",1982,-100490096.073562,-113918605.389414,-87373197.140884
"228","Eastern Forest",1983,-105726877.058577,-119298576.52443,-92340350.9960969
"235","Eastern Forest",1984,-110264026.148108,-123870671.725901,-96556727.7856198
"200","Eastern Forest",1985,-114116598.357292,-127919227.664056,-100506746.986638
"198","Eastern Forest",1986,-117458867.9698,-131308163.357102,-104103926.159886
"196","Eastern Forest",1987,-120747374.44052,-134564077.882519,-107023084.960025
"203","Eastern Forest",1988,-123579046.596215,-137728665.709633,-109693751.941927
"214","Eastern Forest",1989,-126431790.490166,-140755812.616072,-112115224.636424
"225","Eastern Forest",1990,-129079856.509117,-143200811.240464,-114965611.746629
"223","Eastern Forest",1991,-131828900.93793,-146464645.680836,-117475281.921179
"207","Eastern Forest",1992,-134763552.594849,-149241697.20343,-120449697.704228
