"","Breeding.Biome","year","med","lci","uci"
"273","Forest Generalist",2010,-447231132.443391,-511725990.887055,-384322453.175701
"284","Forest Generalist",2011,-453134961.264442,-519803294.679574,-390693279.530957
"283","Forest Generalist",2012,-459534929.765429,-525968103.575965,-395786004.615026
"285","Forest Generalist",2013,-464917246.657897,-530673578.812597,-400429865.417436
"254","Forest Generalist",2014,-469329233.449826,-537218959.197239,-403721581.14232
"261","Forest Generalist",2015,-474159625.512731,-542029073.127304,-407370237.773159
"272","Forest Generalist",2016,-478270061.28686,-545336425.528888,-410426834.594481
"279","Forest Generalist",2017,-482065136.078266,-551867314.010054,-414635369.586074
"292","Grassland",1970,0,0,0
"298","Grassland",1971,-20952713.2815478,-54778760.0364656,12899155.1919222
"309","Grassland",1972,-42288243.4265575,-74729265.0075443,-9433124.14318615
"320","Grassland",1973,-64892429.3916068,-96979056.8722888,-32789116.8080386
"290","Grassland",1974,-87835779.8331256,-121385021.34549,-55303482.5472301
"289","Grassland",1975,-113627344.748028,-148334673.241755,-77870998.0945748
"291","Grassland",1976,-140228687.601571,-176147075.910473,-103454043.9118
"297","Grassland",1977,-166340260.602362,-204877030.674092,-128794056.798639
"308","Grassland",1978,-192134412.306105,-230292197.771526,-154969304.323655
"319","Grassland",1979,-217280852.949285,-254872930.726628,-179604622.60041
"317","Grassland",1980,-239821993.629111,-277853653.412478,-202620246.93798
"296","Grassland",1981,-261725259.976122,-299399964.104037,-224445287.702391
"299","Grassland",1982,-281995477.457239,-320661436.370626,-244418970.09536
"310","Grassland",1983,-301402895.919713,-339572307.866245,-263852808.303409
"321","Grassland",1984,-320236473.331617,-358911527.578747,-282374196.809737
"305","Grassland",1985,-337826070.56161,-375851531.438417,-300210527.062795
"303","Grassland",1986,-354545764.485953,-392640319.329129,-317885424.666054
"314","Grassland",1987,-370991280.706962,-410259968.029591,-334100413.419124
"325","Grassland",1988,-387419718.655174,-425720400.231537,-350047313.694628
"332","Grassland",1989,-403053709.249186,-442457905.662354,-365635613.694298
"330","Grassland",1990,-419114830.797172,-457195446.524362,-381227451.094276
"328","Grassland",1991,-434716135.483488,-473050392.260217,-397204876.393807
"293","Grassland",1992,-450478622.912464,-488142090.194311,-412860133.24822
"300","Grassland",1993,-465800414.889492,-504380065.039383,-428512886.221023
"311","Grassland",1994,-480551188.865104,-519719902.768976,-443146468.091279
"322","Grassland",1995,-495538883.020773,-534376744.974349,-458949763.887594
"306","Grassland",1996,-510574736.548395,-549328994.095073,-471967097.712065
"304","Grassland",1997,-524618296.412455,-564311388.447377,-487055471.882486
"315","Grassland",1998,-537680002.508461,-577538959.01527,-499757561.185611
"326","Grassland",1999,-550966128.576573,-590786579.193242,-512270617.186078
"333","Grassland",2000,-563012031.620332,-602538950.969311,-524586704.087352
"331","Grassland",2001,-574441460.469189,-614093791.201617,-535491728.729094
"329","Grassland",2002,-585117925.889117,-626083058.23694,-546081764.48386
"294","Grassland",2003,-594956288.156323,-634580727.480348,-555891539.349919
"301","Grassland",2004,-604947967.66368,-645056035.832412,-565777804.807129
"312","Grassland",2005,-614589674.241948,-655243389.024101,-575155346.42516
"323","Grassland",2006,-624024374.692342,-666150096.670314,-583705820.845484
"307","Grassland",2007,-633240226.905272,-675886294.988451,-592583980.536924
"318","Grassland",2008,-642862831.56921,-685662911.436132,-601938752.251952
"316","Grassland",2009,-652144307.098403,-694937155.044374,-610887655.230585
"327","Grassland",2010,-661467783.777199,-705020829.274501,-620186031.123875
"334","Grassland",2011,-670819288.846402,-714321581.383642,-628344209.854413
"336","Grassland",2012,-679730831.979278,-723993462.110218,-637639576.25108
"335","Grassland",2013,-688123940.506616,-732855968.401849,-645464332.392616
"295","Grassland",2014,-696283772.480448,-740928347.754664,-653686238.893156
"302","Grassland",2015,-703890111.090611,-749315933.763425,-659868086.73458
"313","Grassland",2016,-710856337.806892,-754950038.801703,-667566730.30241
"324","Grassland",2017,-717849730.758936,-764748097.991035,-673891401.13129
"337","Habitat Generalist",1970,0,0,0
"343","Habitat Generalist",1971,-12707784.5837822,-42100064.4593272,16512576.7793096
"350","Habitat Generalist",1972,-25207913.6347959,-54178634.7486784,3191715.11564647
"361","Habitat Generalist",1973,-39855953.4036963,-68431238.6593632,-10649548.0868245
"349","Habitat Generalist",1974,-57029311.5523322,-86963273.4996085,-27681066.1055723
"347","Habitat Generalist",1975,-77762247.1594784,-108403964.297632,-47177241.3311759
"354","Habitat Generalist",1976,-100004508.291396,-131798029.983798,-68243689.1613012
"365","Habitat Generalist",1977,-123563725.654052,-155424110.933102,-90714000.2994801
"376","Habitat Generalist",1978,-146510527.818986,-179113860.824886,-113122995.732243
"374","Habitat Generalist",1979,-167975989.911689,-201620227.811805,-135153234.033527
"381","Habitat Generalist",1980,-188295208.318737,-223012263.877392,-154644301.276144
"341","Habitat Generalist",1981,-206217752.606855,-240052359.081655,-171993198.658445
"340","Habitat Generalist",1982,-222058320.357939,-255738307.458691,-188486958.32101
"351","Habitat Generalist",1983,-236291424.58595,-270486069.336523,-201848171.461671
"362","Habitat Generalist",1984,-249465466.489509,-283720410.120584,-214901105.907615
"346","Habitat Generalist",1985,-261056195.066565,-295759536.177863,-225885630.160507
"344","Habitat Generalist",1986,-272011259.447366,-306339035.839226,-237208885.797872
"355","Habitat Generalist",1987,-281767393.882126,-316603581.611071,-247282562.370705
"366","Habitat Generalist",1988,-291352860.615277,-326567455.69595,-256678238.082378
"373","Habitat Generalist",1989,-300683500.994908,-335217910.632854,-265404829.837498
"371","Habitat Generalist",1990,-308682926.421448,-343612729.721564,-273798812.336577
"369","Habitat Generalist",1991,-316441531.600074,-352478472.575436,-280404929.026099
"338","Habitat Generalist",1992,-323651643.827443,-359018884.226595,-288358326.74735
"345","Habitat Generalist",1993,-330681452.627039,-366970292.114153,-295193483.060472
"352","Habitat Generalist",1994,-337718767.691872,-373807911.257822,-300908367.208882
"363","Habitat Generalist",1995,-344535963.998498,-381649877.782892,-308438362.981126
"360","Habitat Generalist",1996,-352021412.186256,-388456442.605195,-314320685.327934
"358","Habitat Generalist",1997,-359161208.718922,-395542759.70023,-321990146.908686
"356","Habitat Generalist",1998,-366192757.474857,-402961115.46359,-328872221.334295
"367","Habitat Generalist",1999,-373311145.013281,-410561963.831499,-335930021.726917
